,LHA11561.0001.1.1.2.1.ZZX6GV14_S1,LHA11561.0002.1.1.2.2.ZZX6GWU2_S2,LHA11561.0003.1.1.2.3.ZZX6GYKK_S3,LHA11561.0004.1.1.2.4.ZZX6H0B2_S4,LHA11561.0005.1.1.6.1.ZZX6GV40_S5,LHA11561.0007.1.1.6.3.ZZX6GYNC_S7,LHA11561.0008.1.1.6.4.ZZX6H0DU_S8,LHA11561.0009.1.1.7.1.ZZX6GV4Q_S9,LHA11561.0010.1.1.7.2.ZZX6GWXJ_S10,LHA11561.0011.1.1.7.3.ZZX6GYO1_S11,LHA11561.0012.1.1.7.4.ZZX6H0EJ_S12,LHA11561.0013.1.1.18.1.ZZX6GVCO_S13,LHA11561.0014.1.1.18.2.ZZX6GX56_S14,LHA11561.0015.1.1.18.3.ZZX6GYVO_S15,LHA11561.0016.1.1.18.4.ZZX6H0M6_S16
f693755dc48a2b83d01d0332afceeeba,0,0,0,0,8,0,0,0,0,162,0,0,0,119,0
cc0012347d8900998690f69fcd5f180c,0,162,1705,1037,0,0,0,0,0,0,0,0,0,0,0
a7a8c3c42a4c7599234771040458a595,0,0,0,0,153,5,0,0,0,0,0,0,641,0,0
97828f0e9b48f51a96137c66497c1ab7,0,183,37,0,0,0,0,0,0,0,0,0,0,0,0
9a043a780aad9aeff1705777f2bd39cc,0,4,48,29,46,0,0,48,29,0,0,0,0,0,0
8d9790a8defe8a57e5cffa1ee741e9dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a8732f088d5269d82525dfd620aa48b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12d93520f44c0271170211e58956eda8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5ebf4b70e0c4dc77f333b8793e826a1d,801,751,683,975,105,600,630,0,0,0,5,0,108,0,154
0cc6d431218c688229640237dbe965e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2ea11eaf0f18c711df037af74557cab,754,692,687,920,120,612,638,0,0,0,12,0,88,23,168
5b5ab54f81a1b98c3ea3a73621511e85,0,0,0,0,532,0,0,0,0,0,93,170,54,0,0
cf41e725dbcf4aa1a4e7fb99773225f6,0,0,0,0,0,0,0,0,0,531,0,0,0,1322,99
6c86c5703f233e168f248062ababab96,0,0,2,0,493,2,21,0,0,0,106,177,53,4,13
a09159a9830ef61168a905a764e092c8,3,12,15,0,0,0,0,0,0,0,0,0,0,0,0
77f931edfae5a0d05196a6d69468b766,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
3c7377bbae6d2bcf6a3eb6812913ef54,0,0,0,0,0,0,0,0,0,0,0,502,0,2025,530
ee2132dcb512804dcd71efa2d03c4b28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f9c0f5c4dcc5e84de0e63aac7390274,0,0,0,0,0,0,0,0,0,295,0,0,195,693,160
e505f2561963a79e4cd3852af0b6bafd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5def293fe4f5a07a06538426ca19eb52,0,0,0,0,0,0,0,0,0,0,0,64,3768,903,1180
8858168046f2de81295629454f884c7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e0ccb3a09f9a0a52f8c0e70e635a506c,570,236,276,372,0,0,0,0,0,199,285,42,0,76,0
0e2b3f0419f3afbba1b023843c17e368,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
41eaac2d87d3af679df64ed02e5ec7a1,0,0,0,0,5,0,0,0,0,205,0,0,214,13,52
8b90ccaa935499b6b48c4b6171d1ca76,297,0,0,0,202,75,37,0,0,0,0,0,413,0,0
bb155f2ee8d03544c11d18fe4e733771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215f743875580778737648607b95efd6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbd499213d2354a168fb370694aa9582,0,0,50,77,48,0,0,0,0,90,38,92,0,184,5
d5fdfd028b9dc427f2093afb2879d059,0,0,0,0,0,0,0,0,0,15,707,0,1490,1357,920
edc13d6bb619f20675d585f1a6686898,0,0,0,0,0,0,0,0,0,205,0,0,192,0,0
b1cf8c6490227c0c9a8ea489cc8d232e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01cd0e9d5e9256147ae462c002518728,0,0,0,0,41,17,10,0,0,133,12,0,75,0,0
90495396ea7dc6fd10e4161e7448e2c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cccd5697900e23782ab6b2e6d265f01a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671151a62226c6922a2a608db6844610,243,497,284,433,106,62,126,0,0,0,0,0,0,0,0
